file_path,module_layer,goal_owner,line_count,public_functions,runner_dependency_count,audit_dependency_count,provider_dependency_count,output_dependency_count,refactor_status,notes
src/ashare_premarket/diagnostics/goal_v1_diagnostic_coverage02.py,diagnostics,goal_v1_diagnostic_coverage02,960,run_goal_v1_diagnostic_coverage02_multi_symbol_diagnostics_expansion;audit_goal_v1_diagnostic_coverage02_multi_symbol_diagnostics_expansion;evaluate_goal_v1_diagnostic_coverage02_multi_symbol_diagnostics_expansion;goal_v1_diagnostic_coverage02_valid_multi_symbol_diagnostic_evidence;goal_v1_diagnostic_coverage02_implemented_workflow_patch;locked_goal10b2_patch;locked_goal10c_patch,6,5,2,29,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/diagnostics/goal_v1_diagnostic_coverage03.py,diagnostics,goal_v1_diagnostic_coverage03,1023,run_goal_v1_diagnostic_coverage03_source_backed_diagnostics_gate;audit_goal_v1_diagnostic_coverage03_source_backed_diagnostics_gate;evaluate_goal_v1_diagnostic_coverage03_source_backed_diagnostics_gate;goal_v1_diagnostic_coverage03_valid_source_backed_diagnostics_evidence;goal_v1_diagnostic_coverage03_implemented_workflow_patch;locked_goal10b3_patch,6,5,47,27,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/diagnostics/workflow.py,diagnostics,shared_infrastructure,1490,run_workflow_diagnostics,69,196,128,132,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/events/__init__.py,events,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/events/contracts.py,events,shared_infrastructure,9,pit_event_count,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/features/__init__.py,features,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/features/panel_expansion.py,features,shared_infrastructure,113,build_engineering_pit_signal_panel;audit_engineering_pit_signal_panel,0,1,0,3,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/features/pit_signal_store.py,features,shared_infrastructure,102,build_pit_signal_snapshot;audit_pit_signal_snapshot,0,1,0,5,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/governance/__init__.py,governance,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/governance/codex_operating_system01.py,governance,shared_infrastructure,10,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/governance/repository_checkpoint01.py,governance,shared_infrastructure,9,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/labels/__init__.py,labels,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/labels/goal_data_label01.py,labels,goal_data_label01,906,run_goal_data_label01_forward_return_label_coverage_expansion;audit_goal_data_label01_forward_return_label_coverage_expansion;evaluate_goal_data_label01_forward_return_label_coverage_expansion;goal_data_label01_valid_forward_return_label_coverage_evidence;goal_data_label01_implemented_workflow_patch;locked_goal_v1_diagnostic_coverage02_patch;locked_goal10b2_patch;locked_goal10c_patch,6,5,9,31,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/labels/label_builder.py,labels,shared_infrastructure,81,build_label_snapshot;audit_label_snapshot,0,1,0,4,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/labels/panel_expansion.py,labels,shared_infrastructure,106,build_engineering_label_panel;audit_engineering_label_panel,0,1,0,3,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/market/__init__.py,market,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/market/context.py,market,shared_infrastructure,11,market_trend_5d,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/models/__init__.py,models,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/models/goal06d.py,models,goal06d,1243,run_goal06d_model_comparison_calibration;audit_goal06d_feature_contract;audit_goal06d_split;audit_goal06d_model_comparison;audit_goal06d_calibration;audit_goal06d_stability;audit_goal06d_governance;audit_goal06d_boundary_locks;validate_feature_contract;validate_split_policy;forbidden_split_requested;build_chronological_splits;build_walk_forward_splits,4,16,12,24,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/models/goal06d1.py,models,goal06d1,1170,run_goal06d1_calibration_stability_warning_repair;audit_goal06d1_target_horizon;audit_goal06d1_score_repair;audit_goal06d1_calibration_repair;audit_goal06d1_feature_sign_stability;audit_goal06d1_provider_concentration_disclosure;audit_goal06d1_governance;audit_goal06d1_boundary_locks,4,18,50,23,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/mvp/__init__.py,mvp,shared_infrastructure,1,,0,0,0,0,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/mvp/goal_mvp01.py,mvp,goal_mvp01,1368,run_goal_mvp01_premarket_research_terminal_gate;audit_goal_mvp01_premarket_research_terminal_gate;evaluate_goal_mvp01_premarket_research_terminal;goal_mvp01_valid_evidence;goal_mvp01_implemented_workflow_patch;locked_goal_alpha_factor_candidate01_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,24,8,20,44,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/nlp/__init__.py,nlp,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/nlp/contracts.py,nlp,shared_infrastructure,10,review_only_nlp_contract_score,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/ops/__init__.py,ops,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/ops/adapter_audit.py,ops,shared_infrastructure,43,run_adapter_audit,1,2,1,2,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/ops/manifests.py,ops,shared_infrastructure,397,write_classified_capability_catalog;write_active_trunk_module_map;write_legacy_exclusion_manifest;write_static_audit_docs;bootstrap_audit_manifests;public_command_rows,29,20,86,72,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/ops/safety.py,ops,shared_infrastructure,108,run_safety_gate,1,0,0,2,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/__init__.py,providers,shared_infrastructure,2,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/akshare/__init__.py,providers,shared_infrastructure,2,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/akshare/catalog.py,providers,shared_infrastructure,13,safe_introspect_akshare_functions,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/akshare_provider.py,providers,shared_infrastructure,199,akshare_available;akshare_function_signatures;load_a_share_code_name_list;load_a_share_spot_snapshot;load_stock_ohlcv_daily;load_benchmark_ohlcv_daily,0,0,13,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/browser_assisted_provider.py,providers,shared_infrastructure,123,browser_dependency_status;fetch_urls_with_browser,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/browser_provider_events.py,providers,shared_infrastructure,165,write_browser_assisted_audit;audit_browser_assisted_provider,1,5,17,6,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/browser_provider_policy.py,providers,shared_infrastructure,45,load_browser_provider_policy;browser_assisted_enabled;browser_domain_allowed;target_domain,0,0,7,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/browser_provider_switches.py,providers,shared_infrastructure,16,load_browser_provider_switches;browser_provider_project_default,0,0,8,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/browser_reference_probe.py,providers,shared_infrastructure,688,run_browser_reference_probe,3,0,19,9,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/contracts/__init__.py,providers,shared_infrastructure,2,,0,0,0,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/contracts/base.py,providers,shared_infrastructure,28,,0,0,4,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/failure_classification.py,providers,shared_infrastructure,845,classify_provider_failure;classify_provider_success;classify_schema_contract;classify_parser_exception;classify_data_quality;classification_for_class;failure_layer_for;decision_for_class;retry_allowed;audit_provider_failure_classification,0,2,96,3,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/failure_events.py,providers,shared_infrastructure,377,build_failure_events;write_goal06c6a_failure_evidence;goal06c6a_status_from_events,12,0,20,7,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/goal_data_provider02a.py,providers,goal_data_provider02a,1499,run_goal_data_provider02a_multi_provider_capability_probe_gate;audit_goal_data_provider02a_multi_provider_capability_probe_gate;evaluate_goal_data_provider02a_multi_provider_capability_probe_gate;goal_data_provider02a_valid_capability_probe_evidence;goal_data_provider02a_implemented_workflow_patch;locked_goal_data_provider02b_patch;locked_goal_data_panel02_patch;locked_goal_v1_diagnostic_coverage03_patch;locked_goal10b3_patch,7,5,225,28,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/goal_data_provider02a1.py,providers,goal_data_provider02a1,770,run_goal_data_provider02a1_network_smoke_test;audit_goal_data_provider02a1_network_smoke_test;evaluate_goal_data_provider02a1_network_smoke_test;goal_data_provider02a1_valid_network_smoke_test_evidence;goal_data_provider02a1_implemented_workflow_patch;locked_goal_data_provider02b_patch,7,5,170,2,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/goal_data_provider02b.py,providers,goal_data_provider02b,1301,run_goal_data_provider02b_source_backed_panel_build_gate;audit_goal_data_provider02b_source_backed_panel_build_gate;evaluate_goal_data_provider02b_source_backed_panel_build_gate;goal_data_provider02b_valid_source_backed_panel_evidence;goal_data_provider02b_implemented_workflow_patch;locked_goal_data_panel02_patch;locked_goal_v1_diagnostic_coverage03_patch;locked_goal10b3_patch,7,5,147,5,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/health.py,providers,shared_infrastructure,14,optional_provider_import_health,0,0,5,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/ingestion.py,providers,shared_infrastructure,932,run_goal06c6_source_backed_engineering_pilot_bundle;build_engineering_pilot_universe;build_source_backed_local_bundle;audit_source_backed_local_bundle;build_source_backed_pit_signal_panel;build_source_backed_label_panel;rebuild_stage6c_source_backed_engineering_panel;audit_stage6c_source_backed_engineering_panel,2,6,28,33,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/local_import_provider.py,providers,shared_infrastructure,31,local_import_paths;read_local_import_table;local_import_status,0,0,2,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/network_isolation.py,providers,shared_infrastructure,133,target_domain_for_function;domain_allowed;parent_proxy_env_present;cleaned_child_env;child_proxy_env_present_after_cleanup;isolation_evidence;scoped_finance_network_env,1,0,3,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/provider_attempt_log.py,providers,shared_infrastructure,72,make_attempt;write_provider_attempt_log;write_provider_attempt_summary,0,0,12,1,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/provider_ladder.py,providers,shared_infrastructure,706,run_goal06c7_provider_ladder_expansion,2,0,96,16,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/provider_registry.py,providers,shared_infrastructure,30,load_provider_config;load_ingestion_config;network_enabled;engineering_bundle_root,0,0,3,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/registry.py,providers,shared_infrastructure,152,provider_registry_rows;provider_registry_entries;provider_registry_config,0,0,52,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/schema_normalization.py,providers,shared_infrastructure,131,normalize_stock_ohlcv_schema;normalize_benchmark_schema;normalize_code_name_schema;normalize_spot_schema;code_to_symbol;symbol_to_provider_code,0,0,1,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/providers/source_catalog.py,providers,shared_infrastructure,251,akshare_source_catalog_rows;akshare_source_catalog_summary;source_catalog_config,0,4,17,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/research/__init__.py,research,shared_infrastructure,1,,0,0,0,0,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_alpha_factor_candidate01.py,research,goal_alpha_factor_candidate01,1330,run_goal_alpha_factor_candidate01_gate;audit_goal_alpha_factor_candidate01_gate;evaluate_goal_alpha_factor_candidate01;goal_alpha_factor_candidate01_valid_evidence;goal_alpha_factor_candidate01_implemented_workflow_patch;locked_goal_quant_research02_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,8,36,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_alpha_factor_candidate02.py,research,goal_alpha_factor_candidate02,1477,run_goal_alpha_factor_candidate02_gate;audit_goal_alpha_factor_candidate02_gate;evaluate_goal_alpha_factor_candidate02;goal_alpha_factor_candidate02_valid_evidence;goal_alpha_factor_candidate02_implemented_workflow_patch;locked_goal_quant_research03_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,10,43,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_alpha_research_refinement01.py,research,goal_alpha_research_refinement01,1433,run_goal_alpha_research_refinement01_gate;audit_goal_alpha_research_refinement01_gate;evaluate_goal_alpha_research_refinement01;goal_alpha_research_refinement01_valid_evidence;goal_alpha_research_refinement01_implemented_workflow_patch;locked_goal_alpha_factor_candidate02_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,11,42,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_quant_research01.py,research,goal_quant_research01,1781,run_goal_quant_research01_factor_research_lab_gate;audit_goal_quant_research01_factor_research_lab_gate;evaluate_goal_quant_research01_factor_research_lab;goal_quant_research01_valid_evidence;goal_quant_research01_implemented_workflow_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,14,45,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_quant_research02.py,research,goal_quant_research02,1533,run_goal_quant_research02_alpha_factor_evaluation_gate;audit_goal_quant_research02_alpha_factor_evaluation_gate;evaluate_goal_quant_research02_alpha_factor_evaluation;goal_quant_research02_valid_evidence;goal_quant_research02_implemented_workflow_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,20,43,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_quant_research03.py,research,goal_quant_research03,1933,run_goal_quant_research03_refined_alpha_evaluation_gate;audit_goal_quant_research03_refined_alpha_evaluation_gate;evaluate_goal_quant_research03_refined_alpha_evaluation;goal_quant_research03_valid_evidence;goal_quant_research03_implemented_workflow_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,20,54,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/research/goal_regime_label_research01.py,research,goal_regime_label_research01,1375,run_goal_regime_label_research01_gate;audit_goal_regime_label_research01_gate;evaluate_goal_regime_label_research01;goal_regime_label_research01_implemented_workflow_patch;locked_goal_quant_research04_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch;goal_regime_label_research01_valid_evidence,7,4,21,21,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/review_diagnostics/__init__.py,review_diagnostics,shared_infrastructure,2,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/review_diagnostics/goal08b.py,review_diagnostics,goal08b,1007,run_goal08b_recommendation_diagnostics_prototype;audit_goal08b_recommendation_diagnostics_prototype;load_goal08b_diagnostics_bundle;evaluate_goal08b_diagnostics;forbidden_goal08b_output_fields;goal08b_valid_diagnostics_evidence,6,9,13,22,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/review_diagnostics/goal09.py,review_diagnostics,goal09,1142,run_goal09_position_band_diagnostics_prototype;audit_goal09_position_band_diagnostics_prototype;load_goal09_position_band_diagnostics_bundle;evaluate_goal09_position_band_diagnostics;forbidden_goal09_output_fields;goal09_valid_position_band_diagnostics_evidence;goal09_implemented_workflow_patch,6,11,11,34,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_design/__init__.py,risk_design,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_design/goal07a.py,risk_design,goal07a,1026,run_goal07a_risk_overlay_design_gate;audit_goal07a_allowed_input_contract;audit_goal07a_output_schema;audit_goal07a_risk_rule_catalog;audit_goal07a_state_machine;audit_goal07a_upstream_warning_mapping;audit_goal07a_governance_boundary;audit_goal07a_boundary_locks;audit_goal07a_v2_factor_lock,6,58,34,20,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_design/goal07a1.py,risk_design,goal07a1,588,run_goal07a1_risk_overlay_design_review_gate;audit_goal07a1_input_contract_readiness;audit_goal07a1_output_schema_safety;audit_goal07a1_rule_convertibility;audit_goal07a1_state_machine_review;audit_goal07a1_warning_policy;audit_goal07a1_boundary_locks;load_goal07a1_design_bundle;evaluate_goal07a1_design_review;review_goal07a1_input_contract;review_goal07a1_output_schema;review_goal07a1_rule_catalog;review_goal07a1_state_machine;classify_goal07a1_upstream_warnings;review_goal07a1_boundaries,6,17,3,6,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_design/goal07b0.py,risk_design,goal07b0,506,run_goal07b0_risk_overlay_review_only_unlock_gate;audit_goal07b0_risk_overlay_review_only_unlock_gate;load_goal07b0_unlock_bundle;evaluate_goal07b0_unlock_gate,6,9,0,25,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_overlay/__init__.py,risk_overlay,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_overlay/goal07b.py,risk_overlay,goal07b,1155,run_goal07b_risk_overlay_calculation_prototype;audit_goal07b_risk_overlay_calculation_prototype;load_goal07b_input_bundle;evaluate_goal07b_calculation;forbidden_goal07b_output_fields,6,7,17,23,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/risk_tiering/__init__.py,risk_tiering,shared_infrastructure,1,,0,0,0,0,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/risk_tiering/goal_risk_tiering01.py,risk_tiering,goal_risk_tiering01,1548,run_goal_risk_tiering01_risk_severity_numeric_score_gate;audit_goal_risk_tiering01_risk_severity_numeric_score_gate;evaluate_goal_risk_tiering01_risk_severity_numeric_score_gate;goal_risk_tiering01_valid_evidence;goal_risk_tiering01_implemented_workflow_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,29,54,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
src/ashare_premarket/risk_tiering/goal_risk_tiering011.py,risk_tiering,goal_risk_tiering011,1743,run_goal_risk_tiering011_downside_risk_repair_gate;audit_goal_risk_tiering011_downside_risk_repair_gate;evaluate_goal_risk_tiering011_downside_risk_repair_gate;goal_risk_tiering011_valid_evidence;goal_risk_tiering011_implemented_workflow_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,6,5,39,53,scientific_module_preserved,do_not_rewrite_scientific_logic_for_architecture_refactor03
