capability_id,capability_name,capability_class,stage_or_goal,business_purpose,active_source_modules,public_scripts,configs,tests,required_inputs,required_outputs,audit_reports,validation_commands,verification_commands,status,preserve_requirement,legacy_or_lock_reason,recommended_action,notes
pit_signal_store,PIT signal store,CLASS_A_REQUIRED_ACTIVE,GOAL-05A,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.features,scripts/build_pit_signal_snapshot.py;scripts/audit_pit_signal_snapshot.py,configs/features/pit_signal_contract.json,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv;outputs/audits/pit_signal_snapshot_audit.md,outputs/audits/pit_signal_snapshot_audit.md;outputs/audits/pit_signal_quality_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
source_availability_gate,Source availability gate,CLASS_A_REQUIRED_ACTIVE,GOAL-05A,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.features,scripts/audit_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/pit_signal_quality_report.md,outputs/audits/pit_signal_snapshot_audit.md;outputs/audits/pit_signal_quality_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
signal_quality,Signal quality,CLASS_A_REQUIRED_ACTIVE,GOAL-05A,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.features,scripts/audit_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/stage5b_readiness_report.md,outputs/audits/pit_signal_snapshot_audit.md;outputs/audits/pit_signal_quality_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
label_contract,Label contract and builder,CLASS_A_REQUIRED_ACTIVE,GOAL-05B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.labels,scripts/build_label_snapshot.py;scripts/audit_label_snapshot.py,configs/labels/label_contract.json,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/labels/daily_label_snapshot.csv;outputs/audits/label_snapshot_audit.md,outputs/audits/label_snapshot_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
benchmark_contract,Benchmark contract,CLASS_A_REQUIRED_ACTIVE,GOAL-05B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.labels,scripts/build_label_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/labels/daily_label_snapshot.csv,outputs/audits/label_snapshot_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
feature_label_merge,Feature-label merge,CLASS_A_REQUIRED_ACTIVE,GOAL-05C,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.datasets,scripts/build_model_ready_candidate_dataset.py,configs/datasets/feature_label_merge_contract.json,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/datasets/model_ready_candidate_dataset.csv,outputs/audits/feature_label_merge_audit.md;outputs/audits/leakage_audit_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
leakage_audit,Leakage audit,CLASS_A_REQUIRED_ACTIVE,GOAL-05C,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.datasets,scripts/audit_feature_label_leakage.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/leakage_audit_report.md,outputs/audits/feature_label_merge_audit.md;outputs/audits/leakage_audit_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
stage6a_repair_panel,Stage 6A repair panel,CLASS_A_REQUIRED_ACTIVE,GOAL-06A,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.scoring,scripts/run_stage6a_blocker_repair.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6a/STAGE6A_repair_candidate_dataset.csv,outputs/audits/baseline_scoring_skeleton_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
baseline_scoring_skeleton,Baseline scoring skeleton,CLASS_A_REQUIRED_ACTIVE,GOAL-06A,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.scoring,scripts/run_baseline_scoring_skeleton.py;scripts/audit_baseline_scoring_skeleton.py,configs/scoring/baseline_scoring_contract.json,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6a/STAGE6A_baseline_score_snapshot.csv;outputs/audits/baseline_scoring_skeleton_audit.md,outputs/audits/baseline_scoring_skeleton_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
supervised_baseline_training_gate,Supervised baseline training gate,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.training,scripts/run_supervised_baseline_training.py;scripts/audit_supervised_baseline_training.py,configs/training/supervised_baseline_gate.json,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6b/STAGE6B_training_dataset.csv;outputs/models/goal06b/baseline_training_summary.json,outputs/audits/supervised_baseline_training_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
current_trunk_validation,Current trunk validation,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation,scripts/run_current_trunk_validation.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/e2e_trunk_validation_report_through_goal06b.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
program_validation_profile,Program validation profile,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation,scripts/run_program_validation_profile.py,configs/validation/validation_profile.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,configs/validation/validation_profile.yaml,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
safety_gate,Safety gate,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.ops,scripts/run_safety_gate.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/safety_gate_report.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
adapter_audit,Adapter audit,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.ops,scripts/run_adapter_audit.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/adapter_audit_report.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
workflow_diagnostics,Workflow diagnostics,CLASS_A_REQUIRED_ACTIVE,GOAL-06B,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.diagnostics,scripts/run_workflow_diagnostics.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/diagnostics/workflow_diagnostic_summary.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c_expanded_validation,GOAL-06C expanded validation panel,CLASS_A_REQUIRED_ACTIVE,GOAL-06C,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation.stage6c,scripts/build_stage6c_expanded_validation_dataset.py;scripts/audit_stage6c_expanded_validation.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6c/STAGE6C_expanded_validation_dataset.csv;outputs/audits/stage6c_expanded_validation_audit.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c_ranking_baselines,GOAL-06C ranking baselines,CLASS_A_REQUIRED_ACTIVE,GOAL-06C,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation.stage6c,scripts/run_stage6c_ranking_baselines.py;scripts/audit_stage6c_ranking_baselines.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6c/STAGE6C_ranking_baseline_scores.csv;outputs/stage6c/STAGE6C_ranking_metrics.csv;outputs/audits/stage6c_ranking_baseline_audit.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c_walk_forward_diagnostics,GOAL-06C walk-forward diagnostics,CLASS_A_REQUIRED_ACTIVE,GOAL-06C,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation.stage6c,scripts/run_stage6c_walk_forward_validation.py;scripts/run_goal06c_expanded_validation.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6c/STAGE6C_walk_forward_diagnostics.csv;outputs/stage6c/STAGE6C_ranking_stability_diagnostics.csv;outputs/audits/stage6c_readiness_report.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_storage_policy,GOAL-06C.5 local research storage policy,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.storage.policy,scripts/audit_storage_policy.py,configs/storage/storage_policy.yaml;configs/storage/data_paths.example.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,configs/storage/storage_policy.yaml;docs/storage/DATA_STORAGE_ARCHITECTURE.md;outputs/audits/storage_policy_audit.md,outputs/audits/storage_policy_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_data_bundle_manifest,GOAL-06C.5 data bundle manifest,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.storage.policy,scripts/build_data_bundle_manifest.py;scripts/audit_data_bundle_manifest.py,configs/storage/data_bundle_schema.yaml;configs/storage/table_schema_registry.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/data_bundle_manifest_summary.md;outputs/audits/data_bundle_manifest_summary.json;outputs/audits/data_bundle_manifest_audit.md,outputs/audits/data_bundle_manifest_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_source_coverage,"GOAL-06C.5 source, universe, and calendar coverage",CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.data.coverage,scripts/audit_data_source_coverage.py,configs/providers/source_coverage_config.yaml;configs/universe/universe_expansion_config.yaml;configs/project/trading_calendar_expansion_config.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/data_source_coverage_audit.md;outputs/audits/source_symbol_coverage_matrix.csv;outputs/audits/source_date_coverage_matrix.csv;outputs/audits/source_gap_analysis.md,outputs/audits/data_source_coverage_audit.md;outputs/audits/source_gap_analysis.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_engineering_pit_panel,GOAL-06C.5 engineering PIT signal panel sample,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.features.panel_expansion,scripts/build_engineering_pit_signal_panel.py;scripts/audit_engineering_pit_signal_panel.py,configs/features/engineering_pit_panel_config.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/engineering_pit_signal_panel_sample.csv;outputs/audits/engineering_pit_signal_panel_audit.md,outputs/audits/engineering_pit_signal_panel_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_engineering_label_panel,GOAL-06C.5 engineering label panel sample,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.labels.panel_expansion,scripts/build_engineering_label_panel.py;scripts/audit_engineering_label_panel.py,configs/labels/engineering_label_panel_config.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/labels/engineering_label_panel_sample.csv;outputs/audits/engineering_label_panel_audit.md,outputs/audits/engineering_label_panel_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c5_engineering_stage6c_panel,GOAL-06C.5 Stage 6C engineering panel gate,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation.engineering_panel,scripts/rebuild_stage6c_from_engineering_panel.py,configs/validation/panel_size_tiers.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/stage6c/STAGE6C_engineering_expanded_validation_dataset_sample.csv;outputs/audits/stage6c_engineering_panel_audit.md;outputs/audits/engineering_panel_readiness_report.md;outputs/audits/active_path_replacement_audit.md,outputs/audits/stage6c_engineering_panel_audit.md;outputs/audits/engineering_panel_readiness_report.md;outputs/audits/active_path_replacement_audit.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
goal06c6_provider_failure_classification,GOAL-06C.6 provider failure classification,CLASS_A_REQUIRED_ACTIVE,GOAL-06C.6,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.providers.failure_classification,scripts/audit_provider_failure_classification.py,configs/providers/provider_failure_classification.yaml,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/provider_failure_classification_audit.md;outputs/audits/provider_failure_summary.md;outputs/audits/provider_failure_summary.json;outputs/audits/goal06c6_failure_taxonomy_report.md;outputs/audits/goal06c6_failure_taxonomy_report.json,outputs/audits/provider_failure_classification_audit.md;outputs/audits/provider_failure_summary.md;outputs/audits/goal06c6_failure_taxonomy_report.md,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
