source_id,akshare_category,akshare_subcategory,akshare_function_name_if_known,priority_band,approved_usage,selected_for_goal,selection_reason,fetch_mode,expected_grain,expected_primary_keys,pit_policy,storage_policy,commit_policy,provider_stability_risk,lookahead_risk,implementation_status,notes
market_overview,A_share_core_market_data,market overview,stock_zh_a_spot_em,P0_market_regime_core,approved_for_provider_health_only,true,provider_health_only_no_research_values_committed,committed_evidence_replay,snapshot,snapshot_time,use_snapshot_time_as_pit_available_date,metadata_or_bounded_snapshot_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Snapshot-only unless replayable as-of data exists.
broad_market_indices,index_and_regime_data,broad market indices,index_zh_a_hist,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_index,"trade_date,index_symbol",use_trade_date_as_pit_available_date,bounded_index_panel_only,commit_bounded_normalized_summary_only,medium,low,selected_for_offline_replay_or_provider_health,Core regime source.
csi_indices,index_and_regime_data,CSI indices,index_zh_a_hist,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_index,"trade_date,index_symbol",use_trade_date_as_pit_available_date,bounded_index_panel_only,commit_bounded_normalized_summary_only,medium,low,selected_for_offline_replay_or_provider_health,Approved only as index-level context.
sse_indices,index_and_regime_data,SSE indices,index_zh_a_hist,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_index,"trade_date,index_symbol",use_trade_date_as_pit_available_date,bounded_index_panel_only,commit_bounded_normalized_summary_only,medium,low,selected_for_offline_replay_or_provider_health,
szse_indices,index_and_regime_data,SZSE indices,index_zh_a_hist,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_index,"trade_date,index_symbol",use_trade_date_as_pit_available_date,bounded_index_panel_only,commit_bounded_normalized_summary_only,medium,low,selected_for_offline_replay_or_provider_health,
industry_indices,index_and_regime_data,industry indices,stock_board_industry_hist_em,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_industry,"trade_date,industry_code",use_trade_date_as_pit_available_date,bounded_sector_panel_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Useful for breadth and dispersion by sector.
concept_indices,index_and_regime_data,concept indices,stock_board_concept_hist_em,P0_market_regime_core,approved_for_research_context,true,approved_p0_p1_research_context,committed_evidence_replay,trade_date_concept,"trade_date,concept_code",use_trade_date_as_pit_available_date,bounded_sector_panel_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Context until concept taxonomy stability is verified.
style_indices,index_and_regime_data,style indices where available,index_zh_a_hist,P0_market_regime_core,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_index,"trade_date,index_symbol",use_trade_date_as_pit_available_date,bounded_index_panel_only,commit_summary_only,medium,medium,not_selected,Needs explicit symbol list.
index_valuation,index_and_regime_data,index valuation,stock_zh_index_value_csindex,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_index_metric,"date,index_symbol,metric",publication_or_as_of_date_required_before_research_use,bounded_metric_table_only,commit_summary_only,medium,medium,not_selected,"Medium-term context, not premarket signal by itself."
market_breadth_proxy,index_and_regime_data,market breadth proxy,stock_zh_a_spot_em,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date,trade_date,use_trade_date_as_pit_available_date,derived_from_bounded_panel,commit_derived_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Prefer derived from committed daily panel over live snapshot.
market_turnover_proxy,index_and_regime_data,market turnover proxy,stock_zh_a_spot_em,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date,trade_date,use_trade_date_as_pit_available_date,derived_from_bounded_panel,commit_derived_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Prefer derived from daily committed panel.
industry_board_quotes,sector_industry_concept_data,industry board quotes,stock_board_industry_spot_em,P1_symbol_context_and_event,approved_for_provider_health_only,true,provider_health_only_no_research_values_committed,committed_evidence_replay,industry_snapshot,"snapshot_time,industry_code",use_snapshot_time_as_pit_available_date,metadata_or_bounded_snapshot_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Snapshot only without archive.
concept_board_quotes,sector_industry_concept_data,concept board quotes,stock_board_concept_spot_em,P1_symbol_context_and_event,approved_for_provider_health_only,true,provider_health_only_no_research_values_committed,committed_evidence_replay,concept_snapshot,"snapshot_time,concept_code",use_snapshot_time_as_pit_available_date,metadata_or_bounded_snapshot_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Snapshot only without archive.
industry_historical,sector_industry_concept_data,industry historical data,stock_board_industry_hist_em,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_industry,"trade_date,industry_code",use_trade_date_as_pit_available_date,bounded_sector_panel_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
concept_historical,sector_industry_concept_data,concept historical data,stock_board_concept_hist_em,P1_symbol_context_and_event,approved_for_research_context,true,approved_p0_p1_research_context,committed_evidence_replay,trade_date_concept,"trade_date,concept_code",use_trade_date_as_pit_available_date,bounded_sector_panel_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
industry_capital_flow,sector_industry_concept_data,industry capital flow,stock_fund_flow_industry,P1_symbol_context_and_event,approved_for_research_context,true,approved_p0_p1_research_context,committed_evidence_replay,trade_date_industry,"trade_date,industry_code",publication_or_as_of_date_required_before_research_use,bounded_flow_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Use as context until stable history verified.
concept_capital_flow,sector_industry_concept_data,concept capital flow,stock_fund_flow_concept,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_concept,"trade_date,concept_code",publication_or_as_of_date_required_before_research_use,bounded_flow_table_only,commit_summary_only,medium,medium,not_selected,
industry_classification,sector_industry_concept_data,industry classification,stock_board_industry_cons_em,P1_symbol_context_and_event,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,as_of_date_symbol_industry,"as_of_date,symbol,industry_code",publication_or_as_of_date_required_before_research_use,bounded_membership_table_only,commit_summary_only,medium,high,not_selected,Membership history must be PIT-safe before research use.
individual_stock_capital_flow,liquidity_and_capital_flow_data,individual stock capital flow,stock_fund_flow_individual,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,trade_date_symbol,"trade_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_flow_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Potential liquidity stress context.
main_force_flow,liquidity_and_capital_flow_data,main-force flow,stock_fund_flow_individual,P3_context_only_or_experimental,experimental_requires_review,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_symbol,"trade_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_flow_table_only,commit_metadata_only,high,high,not_selected,Vendor-defined flow field; not approved as factor.
large_order_flow,liquidity_and_capital_flow_data,large-order flow,stock_fund_flow_big_deal,P3_context_only_or_experimental,experimental_requires_review,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_symbol,"trade_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_flow_table_only,commit_metadata_only,high,high,not_selected,
market_capital_flow,liquidity_and_capital_flow_data,market capital flow,stock_fund_flow_individual,P0_market_regime_core,approved_for_research_context,true,approved_p0_p1_research_context,committed_evidence_replay,trade_date,trade_date,publication_or_as_of_date_required_before_research_use,derived_or_bounded_summary,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
northbound_stock_connect_flow,liquidity_and_capital_flow_data,northbound / Stock Connect flow,stock_hsgt_fund_flow_summary_em,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_market,"trade_date,market",publication_or_as_of_date_required_before_research_use,bounded_flow_summary_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Stable candidate for regime context when available.
stock_connect_holdings,liquidity_and_capital_flow_data,Stock Connect holdings,stock_hsgt_hold_stock_em,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_symbol,"date,symbol",publication_or_as_of_date_required_before_research_use,bounded_holdings_table_only,commit_summary_only,medium,medium,not_selected,
margin_financing_summary,liquidity_and_capital_flow_data,financing and securities lending summary,stock_margin_sse,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_market,"trade_date,market",publication_or_as_of_date_required_before_research_use,bounded_margin_summary_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Regime leverage context candidate.
margin_financing_detail,liquidity_and_capital_flow_data,financing and securities lending detail,stock_margin_detail_sse,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,trade_date_symbol,"trade_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_margin_detail_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
margin_eligible_securities,liquidity_and_capital_flow_data,margin-eligible securities,stock_margin_underlying_info_szse,P1_symbol_context_and_event,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,as_of_date_symbol,"as_of_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_status_table_only,commit_summary_only,medium,medium,not_selected,
financial_statements,fundamental_and_corporate_event_data,financial statements,stock_financial_report_sina,P2_macro_fundamental_medium_term,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,report_period_symbol_statement,"report_period,symbol,statement_type",publication_or_as_of_date_required_before_research_use,bounded_fundamental_table_only,commit_summary_only,medium,high,not_selected,Not used for premarket regime labels without PIT publication dates.
valuation_indicators,fundamental_and_corporate_event_data,valuation indicators,stock_a_indicator_lg,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_symbol_metric,"date,symbol,metric",publication_or_as_of_date_required_before_research_use,bounded_metric_table_only,commit_summary_only,medium,medium,not_selected,
dividend_rights_issue,fundamental_and_corporate_event_data,dividend and rights issue,stock_history_dividend_detail,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,event_date_symbol,"event_date,symbol,event_type",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,medium,not_selected,
shareholding_structure,fundamental_and_corporate_event_data,shareholding structure,stock_zh_a_gbjg_em,P2_macro_fundamental_medium_term,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,report_period_symbol,"report_period,symbol",publication_or_as_of_date_required_before_research_use,bounded_fundamental_table_only,commit_summary_only,medium,high,not_selected,
top_shareholders,fundamental_and_corporate_event_data,top shareholders,stock_gdfx_top_10_em,P2_macro_fundamental_medium_term,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,report_period_symbol_holder,"report_period,symbol,holder_name",publication_or_as_of_date_required_before_research_use,bounded_fundamental_table_only,commit_summary_only,medium,high,not_selected,
shareholder_count,fundamental_and_corporate_event_data,shareholder count,stock_zh_a_gdhs_detail_em,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,report_date_symbol,"report_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
insider_holding_changes,fundamental_and_corporate_event_data,insider / executive holding changes,stock_hold_management_detail_em,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,event_date_symbol_person,"event_date,symbol,person",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,high,not_selected,
pledges_goodwill_repurchase_unlock,fundamental_and_corporate_event_data,pledges / goodwill / repurchase / restricted share unlock,stock_restricted_release_queue_em,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,event_date_symbol_event,"event_date,symbol,event_type",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,high,not_selected,
earnings_calendar,fundamental_and_corporate_event_data,earnings forecast / bulletin / report calendar,stock_yjbb_em,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,event_date_symbol,"event_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,high,selected_for_offline_replay_or_provider_health,
company_announcements,fundamental_and_corporate_event_data,company announcements / major contracts / lawsuits / guarantees / research visits,stock_zh_a_disclosure_report_cninfo,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,publication_time_symbol_announcement,"publication_time,symbol,announcement_id",publication_or_as_of_date_required_before_research_use,metadata_only_no_raw_text_commit,commit_metadata_summary_only,medium,high,not_selected,Full announcement text remains out of repo.
limit_up_down,trading_microstructure_and_event_data,limit-up / limit-down related data,stock_zt_pool_em,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,trade_date_symbol_event,"trade_date,symbol,event_type",use_trade_date_as_pit_available_date,bounded_event_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Tradability context only.
dragon_tiger_list,trading_microstructure_and_event_data,Dragon Tiger List,stock_lhb_detail_em,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,trade_date_symbol,"trade_date,symbol",use_trade_date_as_pit_available_date,bounded_event_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
block_trades,trading_microstructure_and_event_data,block trades,stock_dzjy_detail_em,P1_symbol_context_and_event,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,trade_date_symbol_trade,"trade_date,symbol,trade_id",use_trade_date_as_pit_available_date,bounded_event_table_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,
new_high_low_heat_attention,trading_microstructure_and_event_data,new highs / new lows / heat / attention indices,stock_hot_rank_em,P3_context_only_or_experimental,experimental_requires_review,false,not_selected_not_approved_p0_p1_scope,not_fetched,timestamp_symbol,"timestamp,symbol,source_metric",publication_or_as_of_date_required_before_research_use,metadata_only,commit_metadata_only,high,high,not_selected,Not approved as factor input.
chip_distribution,trading_microstructure_and_event_data,chip distribution if available,stock_cyq_em,P3_context_only_or_experimental,experimental_requires_review,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_symbol,"trade_date,symbol",publication_or_as_of_date_required_before_research_use,metadata_only,commit_metadata_only,high,high,not_selected,Experimental only.
analyst_ratings_reports,trading_microstructure_and_event_data,analyst ratings / research reports,stock_rank_forecast_cninfo,P3_context_only_or_experimental,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,publication_time_symbol_report,"publication_time,symbol,report_id",publication_or_as_of_date_required_before_research_use,metadata_only_no_raw_text_commit,commit_metadata_summary_only,medium,high,not_selected,Context only.
macro_china_indicators,macro_rates_bonds_fx_data,macro China indicators / PMI / CPI / PPI / money supply / social financing,macro_china_cpi,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,release_date_indicator,"release_date,indicator",publication_or_as_of_date_required_before_research_use,bounded_macro_table_only,commit_summary_only,medium,medium,not_selected,Medium-term context only.
interest_rates_shibor,macro_rates_bonds_fx_data,interest rates / SHIBOR / interbank rates,rate_interbank,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_rate,"date,rate_name",publication_or_as_of_date_required_before_research_use,bounded_rate_table_only,commit_summary_only,medium,medium,not_selected,
treasury_yield_bond_market,macro_rates_bonds_fx_data,treasury yield / bond market data,bond_zh_us_rate,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_curve,"date,curve_name,maturity",publication_or_as_of_date_required_before_research_use,bounded_rate_table_only,commit_summary_only,medium,medium,not_selected,
rmb_fx_usd_proxy,macro_rates_bonds_fx_data,RMB FX / USD index proxy,currency_boc_sina,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_pair,"date,fx_pair",publication_or_as_of_date_required_before_research_use,bounded_fx_table_only,commit_summary_only,medium,medium,not_selected,
public_funds,fund_etf_qdii_data,public fund data,fund_open_fund_info_em,P2_macro_fundamental_medium_term,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_fund,"date,fund_code",publication_or_as_of_date_required_before_research_use,bounded_fund_table_only,commit_summary_only,medium,medium,not_selected,
etf_data,fund_etf_qdii_data,ETF data,fund_etf_hist_em,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_fund,"date,fund_code",use_date_as_pit_available_date,bounded_fund_table_only,commit_summary_only,medium,medium,not_selected,
fund_holdings_flow_qdii,fund_etf_qdii_data,fund holdings / fund flow / QDII,fund_portfolio_hold_em,P2_macro_fundamental_medium_term,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,report_period_fund_symbol,"report_period,fund_code,holding_symbol",publication_or_as_of_date_required_before_research_use,bounded_fund_table_only,commit_summary_only,medium,high,not_selected,
commodity_futures,futures_commodities_energy_options_data,commodity futures,futures_zh_daily_sina,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_contract,"date,contract",use_date_as_pit_available_date,bounded_futures_table_only,commit_summary_only,medium,medium,not_selected,
financial_futures_options,futures_commodities_energy_options_data,financial futures / options,futures_hist_daily_cffex,P2_macro_fundamental_medium_term,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_contract,"date,contract",use_date_as_pit_available_date,bounded_derivative_table_only,commit_summary_only,medium,medium,not_selected,Needs derivative contract governance before use.
energy_gold_copper_oil_coal_iron_ore,futures_commodities_energy_options_data,energy / gold / copper / oil / coal / iron ore proxies,futures_global_hist_em,P2_macro_fundamental_medium_term,approved_for_research_context,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_proxy,"date,proxy_symbol",use_date_as_pit_available_date,bounded_proxy_table_only,commit_summary_only,medium,medium,not_selected,
stock_news,news_nlp_policy_alternative_data,individual stock news,stock_news_em,P3_context_only_or_experimental,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,publication_time_symbol_article,"publication_time,symbol,article_id",publication_or_as_of_date_required_before_research_use,metadata_only_no_raw_text_commit,commit_metadata_summary_only,high,high,not_selected,No raw full news text in repo.
financial_news_policy,news_nlp_policy_alternative_data,financial news / policy uncertainty,news_economic_baidu,P3_context_only_or_experimental,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,publication_time_topic,"publication_time,source,article_id",publication_or_as_of_date_required_before_research_use,metadata_only_no_raw_text_commit,commit_metadata_summary_only,high,high,not_selected,
nlp_interfaces,news_nlp_policy_alternative_data,NLP interfaces,,BLOCKED_boundary_or_pit_risk,blocked,false,not_selected_not_approved_p0_p1_scope,not_fetched,model_output,"publication_time,symbol_or_topic,model_id",publication_or_as_of_date_required_before_research_use,not_allowed,do_not_commit,high,very_high,not_selected,Unverified sentiment features are blocked.
alternative_migration_high_frequency,news_nlp_policy_alternative_data,alternative data / migration data / high-frequency data,,BLOCKED_boundary_or_pit_risk,blocked,false,not_selected_not_approved_p0_p1_scope,not_fetched,varies,varies,publication_or_as_of_date_required_before_research_use,not_allowed,do_not_commit,high,very_high,not_selected,Blocked unless a future explicit governed goal narrows scope.
trading_broker_live_execution,blocked_or_future_only,real trading interfaces / broker/live trading interfaces,,BLOCKED_boundary_or_pit_risk,blocked,false,not_selected_not_approved_p0_p1_scope,not_fetched,not_applicable,,publication_or_as_of_date_required_before_research_use,not_allowed,do_not_commit,high,very_high,not_selected,Explicitly outside project boundary.
crypto_unapproved,blocked_or_future_only,crypto data unless explicitly approved for macro context,crypto_js_spot,BLOCKED_boundary_or_pit_risk,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,date_asset,"date,asset",publication_or_as_of_date_required_before_research_use,not_allowed_without_macro_context_review,do_not_commit,medium,high,not_selected,Not approved except possible future macro context review.
sources_without_pit_control,blocked_or_future_only,sources lacking timestamp or publication-date control,,BLOCKED_boundary_or_pit_risk,blocked,false,not_selected_not_approved_p0_p1_scope,not_fetched,varies,,publication_or_as_of_date_required_before_research_use,not_allowed,do_not_commit,varies,very_high,not_selected,Blocked by no-lookahead policy.
