trial_id,source_goal_id,refined_factor_id,source_factor_id,refinement_type,reason_for_refinement,no_lookahead_policy,construction_status,accepted_for_downstream,candidate_for_rec_tiering,downstream_status,intended_future_evaluation_goal,recommended_next_action
goal_alpha_factor_candidate02_trial_011,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_012,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_013,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_014,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_015,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_016,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_017,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_018,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_019,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_020,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_021,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_022,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_023,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_024,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_025,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_026,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_027,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_028,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_029,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_030,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
