refined_factor_id,source_factor_id,refinement_type,factor_family,economic_hypothesis,deterministic_rule_description,required_columns,construction_formula_plain_english,construction_formula_expression,expected_direction,no_lookahead_status,uses_forward_returns_in_construction,uses_benchmark_excess_returns_in_construction,uses_label_ready_fields_in_construction,source_input_artifacts,construction_status,rejection_or_missing_reason,intended_future_evaluation_goal,non_actionable_disclaimer
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,Carry the source alpha value only for LOW or MEDIUM risk buckets; otherwise leave refined exposure blank.,"source_factor_value if risk_score_bucket in {LOW_RISK_REVIEW_ONLY, MEDIUM_RISK_REVIEW_ONLY} else missing",higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,Carry the source alpha value only when the committed downside-risk bucket is not HIGH.,source_factor_value if downside_risk_bucket != HIGH_DOWNSIDE_RISK_REVIEW_ONLY else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only outside committed liquidity review queue membership.,source_factor_value if not liquidity_review_queue_member else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only in the committed diagnostic slice mvp_review_queue_category=high_downside_risk_review_queue.,source_factor_value if mvp_review_queue_category == high_downside_risk_review_queue else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,Carry the source alpha value as a horizon-specific refined candidate without mixing horizons.,source_factor_value,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,Carry the source alpha value only for LOW or MEDIUM risk buckets; otherwise leave refined exposure blank.,"source_factor_value if risk_score_bucket in {LOW_RISK_REVIEW_ONLY, MEDIUM_RISK_REVIEW_ONLY} else missing",higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,Carry the source alpha value only when the committed downside-risk bucket is not HIGH.,source_factor_value if downside_risk_bucket != HIGH_DOWNSIDE_RISK_REVIEW_ONLY else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only outside committed liquidity review queue membership.,source_factor_value if not liquidity_review_queue_member else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: downside_risk_bucket=HIGH_DOWNSIDE_RISK_REVIEW_ONLY.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only in the committed diagnostic slice downside_risk_bucket=HIGH_DOWNSIDE_RISK_REVIEW_ONLY.,source_factor_value if downside_risk_bucket == HIGH_DOWNSIDE_RISK_REVIEW_ONLY else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,Carry the source alpha value as a horizon-specific refined candidate without mixing horizons.,source_factor_value,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,Strength without large trailing downside volatility is a conservative research candidate.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,Carry the source alpha value only for LOW or MEDIUM risk buckets; otherwise leave refined exposure blank.,"source_factor_value if risk_score_bucket in {LOW_RISK_REVIEW_ONLY, MEDIUM_RISK_REVIEW_ONLY} else missing",higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,Strength without large trailing downside volatility is a conservative research candidate.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,Carry the source alpha value only when the committed downside-risk bucket is not HIGH.,source_factor_value if downside_risk_bucket != HIGH_DOWNSIDE_RISK_REVIEW_ONLY else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,Strength without large trailing downside volatility is a conservative research candidate.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only outside committed liquidity review queue membership.,source_factor_value if not liquidity_review_queue_member else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,Strength without large trailing downside volatility is a conservative research candidate.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,Carry the source alpha value only in the committed diagnostic slice mvp_review_queue_category=high_downside_risk_review_queue.,source_factor_value if mvp_review_queue_category == high_downside_risk_review_queue else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,Strength without large trailing downside volatility is a conservative research candidate.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,Carry the source alpha value as a horizon-specific refined candidate without mixing horizons.,source_factor_value,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,Carry the source alpha value only for LOW or MEDIUM risk buckets; otherwise leave refined exposure blank.,"source_factor_value if risk_score_bucket in {LOW_RISK_REVIEW_ONLY, MEDIUM_RISK_REVIEW_ONLY} else missing",higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,Carry the source alpha value only when the committed downside-risk bucket is not HIGH.,source_factor_value if downside_risk_bucket != HIGH_DOWNSIDE_RISK_REVIEW_ONLY else missing,higher_positive,passed_current_or_past_only,false,false,false,outputs/research/goal_alpha_research_refinement01_refined_candidate_designs.csv;outputs/research/goal_alpha_research_refinement01_intraday_redefinition_plan.csv;outputs/research/goal_alpha_research_refinement01_instability_attribution.csv;outputs/research/goal_alpha_research_refinement01_conditional_stability_summary.csv;outputs/research/goal_alpha_research_refinement01_trial_registry_update.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,research_only_not_trade_instruction
