refined_factor_id,source_factor_id,refinement_type,economic_hypothesis,deterministic_rule_description,required_columns,no_lookahead_policy,expected_direction,reason_for_refinement,not_evaluated_status
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: downside_risk_bucket=HIGH_DOWNSIDE_RISK_REVIEW_ONLY.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,Strength without large trailing downside volatility is a conservative research candidate.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,Strength without large trailing downside volatility is a conservative research candidate.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,Strength without large trailing downside volatility is a conservative research candidate.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,Strength without large trailing downside volatility is a conservative research candidate.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,Strength without large trailing downside volatility is a conservative research candidate.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,Benchmark-relative strength can be reviewed with downside-risk context but not treated as a score.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
