refined_factor_id,source_factor_id,refinement_type,factor_family,no_lookahead_status,bucket_status,ic_rankic_status,monotonicity_status,rolling_stability_status,horizon_consistency_status,refinement_improvement_status,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,rejection_reason,recommended_next_action
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,liquidity_filtered,price_volume_confirmation,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,review_queue_conditioned,price_volume_confirmation,passed_current_or_past_only,collapsed_or_imbalanced,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,refined_candidate_too_sparse,factor_too_sparse_after_refinement,false,false,valid_rows_or_minimum_bucket_size_below_threshold_after_refinement,collect_more_evidence_or_redesign_refinement_before_rec_tiering
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,price_volume_confirmation,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,horizon_specific,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,liquidity_filtered,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,review_queue_conditioned,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_filtered,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
