trial_id,source_goal_id,original_factor_id,refinement_id,refinement_type,reason_for_refinement,no_lookahead_policy,downstream_status,accepted_for_downstream,candidate_for_rec_tiering,recommended_next_action
goal_alpha_research_refinement01_trial_11,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_20d,alpha_vol_adj_momentum_20d__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_12,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_20d,alpha_vol_adj_momentum_20d__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_13,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_20d,alpha_vol_adj_momentum_20d__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_14,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_20d,alpha_vol_adj_momentum_20d__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_15,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_20d,alpha_vol_adj_momentum_20d__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_16,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_price_volume_confirmation_5d,alpha_price_volume_confirmation_5d__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_17,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_price_volume_confirmation_5d,alpha_price_volume_confirmation_5d__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_18,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_price_volume_confirmation_5d,alpha_price_volume_confirmation_5d__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_19,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_price_volume_confirmation_5d,alpha_price_volume_confirmation_5d__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_20,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_price_volume_confirmation_5d,alpha_price_volume_confirmation_5d__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_21,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_downside_vol_adjusted_strength_20d,alpha_downside_vol_adjusted_strength_20d__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_22,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_downside_vol_adjusted_strength_20d,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_23,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_downside_vol_adjusted_strength_20d,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_24,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_downside_vol_adjusted_strength_20d,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_25,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_downside_vol_adjusted_strength_20d,alpha_downside_vol_adjusted_strength_20d__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_26,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_risk_adjusted_relative_strength,alpha_risk_adjusted_relative_strength__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_27,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_risk_adjusted_relative_strength,alpha_risk_adjusted_relative_strength__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_28,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_risk_adjusted_relative_strength,alpha_risk_adjusted_relative_strength__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_29,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_risk_adjusted_relative_strength,alpha_risk_adjusted_relative_strength__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_30,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_risk_adjusted_relative_strength,alpha_risk_adjusted_relative_strength__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_31,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_intraday_recovery_pressure,alpha_intraday_recovery_pressure__continuous_body_wick_balance,intraday_pressure_redefinition,too_binary_or_threshold_sensitive_same_day_ohlc_shape,current_day_ohlc_shape_and_current_or_past_liquidity_only_no_forward_returns,proposed_redefinition_required,false,false,redefine_in_future_explicit_goal_alpha_factor_candidate02_before_evaluation
goal_alpha_research_refinement01_trial_32,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_intraday_recovery_pressure,alpha_intraday_recovery_pressure__volume_confirmed_pressure,intraday_pressure_redefinition,too_binary_or_threshold_sensitive_same_day_ohlc_shape,current_day_ohlc_shape_and_current_or_past_liquidity_only_no_forward_returns,proposed_redefinition_required,false,false,redefine_in_future_explicit_goal_alpha_factor_candidate02_before_evaluation
goal_alpha_research_refinement01_trial_33,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_intraday_weakness_pressure,alpha_intraday_weakness_pressure__continuous_body_wick_balance,intraday_pressure_redefinition,too_binary_or_threshold_sensitive_same_day_ohlc_shape,current_day_ohlc_shape_and_current_or_past_liquidity_only_no_forward_returns,proposed_redefinition_required,false,false,redefine_in_future_explicit_goal_alpha_factor_candidate02_before_evaluation
goal_alpha_research_refinement01_trial_34,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_intraday_weakness_pressure,alpha_intraday_weakness_pressure__volume_confirmed_pressure,intraday_pressure_redefinition,too_binary_or_threshold_sensitive_same_day_ohlc_shape,current_day_ohlc_shape_and_current_or_past_liquidity_only_no_forward_returns,proposed_redefinition_required,false,false,redefine_in_future_explicit_goal_alpha_factor_candidate02_before_evaluation
